Name,Season,Age,G,GS,MP,FG,FGA,FGPer,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Pascal Siakam,2017-18,23,81,5,20.7,3.1,6.1,0.508,0.4,1.6,0.22,2.8,4.5,0.612,0.537,0.7,1.1,0.621,1,3.5,4.5,2,0.8,0.5,0.8,2,7.3
Pascal Siakam,2018-19,24,78,77,32,6.5,11.9,0.546,1,2.7,0.362,5.5,9.3,0.598,0.586,3,3.8,0.784,1.6,5.3,6.9,3.1,0.9,0.7,1.9,3,16.9
D'Angelo Russell,2017-18,21,48,35,25.7,5.8,14,0.414,1.9,5.8,0.324,3.9,8.2,0.477,0.481,2,2.7,0.74,0.6,3.3,3.9,5.2,0.8,0.4,3.1,1.9,15.5
D'Angelo Russell,2018-19,22,79,79,30.4,8.2,18.8,0.433,2.9,7.8,0.365,5.3,11,0.482,0.509,2,2.5,0.775,0.6,3.2,3.8,7,1.3,0.2,3.2,1.8,21.2
Domantas Sabonis,2017-18,21,74,19,24.5,4.6,8.9,0.514,0.2,0.5,0.351,4.4,8.4,0.524,0.524,2.3,3,0.75,2.2,5.5,7.7,2,0.5,0.4,1.9,3,11.6
Domantas Sabonis,2018-19,22,73,5,24.8,5.5,9.4,0.589,0.1,0.2,0.529,5.4,9.2,0.59,0.595,2.8,4,0.716,2.5,6.8,9.3,2.9,0.7,0.4,2.2,3.2,14.1
Buddy Hield,2017-18,25,80,12,25.3,5.2,11.7,0.446,2.2,5.1,0.431,3,6.6,0.457,0.54,0.9,1,0.877,0.7,3.2,3.8,1.9,1.1,0.3,1.6,1.9,13.5
Buddy Hield,2018-19,26,80,80,32.1,7.7,16.7,0.459,3.4,8,0.429,4.3,8.8,0.486,0.561,2.1,2.4,0.886,1.3,3.8,5.1,2.5,0.7,0.4,1.8,2.5,20.9
Paul George,2017-18,27,79,79,36.6,7.3,17,0.43,3.1,7.7,0.401,4.2,9.3,0.454,0.521,4.3,5.2,0.822,0.9,4.7,5.7,3.3,2,0.5,2.7,2.9,21.9
Paul George,2018-19,28,75,75,36.8,9.2,20.9,0.44,3.8,9.7,0.389,5.4,11.2,0.485,0.531,5.9,7,0.837,1.4,6.8,8.2,4.1,2.2,0.5,2.7,2.7,28.1
De'Aaron Fox,2017-18,20,73,60,27.8,4.5,10.9,0.412,0.6,2.1,0.307,3.8,8.8,0.436,0.441,1.9,2.7,0.723,0.5,2.3,2.8,4.4,1,0.3,2.4,2.2,11.6
De'Aaron Fox,2018-19,21,79,79,31.6,6.2,13.6,0.453,1.1,2.9,0.368,5.1,10.7,0.476,0.493,3.8,5.2,0.725,0.5,3.2,3.8,7.2,1.6,0.6,2.8,2.6,17.2
Montrezl Harrell,2017-18,24,76,3,17,4.6,7.2,0.635,0,0.1,0.143,4.6,7.1,0.641,0.636,1.8,2.9,0.626,1.4,2.7,4,1,0.5,0.7,0.9,1.9,11
Montrezl Harrell,2018-19,25,80,4,26.3,6.6,10.8,0.615,0,0.2,0.176,6.6,10.6,0.623,0.616,3.3,5.1,0.646,2.3,4.3,6.6,1.9,0.9,1.4,1.6,3.1,16.6
